Date,Open,High,Low,Close,Adj Close,Volume
2001-07-02,2.402500,2.475000,2.400000,2.402500,2.227505,110800
2001-07-03,2.475000,2.475000,2.375000,2.400000,2.225188,77520
2001-07-04,2.425000,2.450000,2.387500,2.420000,2.243731,49360
2001-07-05,2.450000,2.472500,2.400000,2.415000,2.239095,62700
2001-07-06,2.425000,2.425000,2.350000,2.400000,2.225188,117800
2001-07-09,2.375000,2.425000,2.350000,2.380000,2.206644,142180
2001-07-10,2.352500,2.400000,2.300000,2.340000,2.169558,94600
2001-07-11,2.475000,2.475000,2.300000,2.300000,2.132472,77780
2001-07-12,2.325000,2.350000,2.300000,2.300000,2.132472,35400
2001-07-13,2.300000,2.395000,2.250000,2.250000,2.086112,80000
2001-07-16,2.250000,2.300000,2.225000,2.225000,2.062934,41900
2001-07-17,2.200000,2.300000,2.200000,2.257500,2.093067,89780
2001-07-18,2.250000,2.272500,2.105000,2.245000,2.081477,60800
2001-07-19,2.235000,2.250000,2.205000,2.227500,2.065252,69100
2001-07-20,2.200000,2.247500,2.177500,2.180000,2.021212,57060
2001-07-23,2.082500,2.200000,2.082500,2.200000,2.039754,2100
2001-07-24,1.775000,2.175000,1.775000,1.997500,1.852005,94120
2001-07-25,1.987500,2.120000,1.935000,2.082500,1.930813,144780
2001-07-26,2.100000,2.117500,2.032500,2.100000,1.947039,74480
2001-07-27,2.097500,2.125000,2.055000,2.115000,1.960946,94060
2001-07-30,2.005000,2.112500,2.005000,2.072500,1.921542,67840
2001-07-31,2.052500,2.125000,2.052500,2.100000,1.947039,55520
2001-08-01,2.102500,2.150000,2.100000,2.122500,1.967900,89700
2001-08-02,2.105000,2.125000,2.075000,2.110000,1.956310,37340
2001-08-03,2.150000,2.157500,2.100000,2.152500,1.995714,93360
2001-08-06,2.150000,2.162500,2.150000,2.150000,1.993397,2022020
2001-08-07,2.150000,2.175000,2.125000,2.140000,1.984126,126520
2001-08-08,2.155000,2.187500,2.130000,2.160000,2.002669,55400
2001-08-09,2.150000,2.170000,2.150000,2.165000,2.007304,38960
2001-08-10,2.157500,2.172500,2.150000,2.150000,1.993397,27680
2001-08-13,2.200000,2.200000,2.150000,2.150000,1.993397,21700
2001-08-14,2.175000,2.187500,2.150000,2.150000,1.993397,78620
2001-08-15,2.150000,2.150000,2.150000,2.150000,1.993397,0
2001-08-16,2.150000,2.195000,2.150000,2.155000,1.998032,84280
2001-08-17,2.150000,2.175000,2.150000,2.150000,1.993397,79700
2001-08-20,2.150000,2.170000,2.150000,2.150000,1.993397,15700
2001-08-21,2.150000,2.172500,2.150000,2.150000,1.993397,34900
2001-08-22,2.150000,2.150000,2.150000,2.150000,1.993397,0
2001-08-23,2.145000,2.167500,2.145000,2.150000,1.993397,64100
2001-08-24,2.150000,2.162500,2.150000,2.150000,1.993397,56960
2001-08-27,2.150000,2.172500,2.150000,2.162500,2.004986,55880
2001-08-28,2.150000,2.162500,2.150000,2.152500,1.995714,51600
2001-08-29,2.175000,2.175000,2.150000,2.152500,1.995714,26620
2001-08-30,2.150000,2.162500,2.150000,2.150000,1.993397,20160
2001-08-31,2.150000,2.175000,2.150000,2.155000,1.998032,72440
2001-09-03,2.192500,2.200000,2.150000,2.157500,2.000350,70200
2001-09-04,2.272500,2.272500,2.150000,2.150000,1.993397,21020
2001-09-05,2.150000,2.162500,2.150000,2.150000,1.993397,49560
2001-09-06,2.195000,2.195000,2.150000,2.150000,1.993397,75400
2001-09-07,2.150000,2.170000,2.150000,2.157500,2.000350,49240
2001-09-10,2.150000,2.170000,2.150000,2.150000,1.993397,53280
2001-09-11,2.150000,2.167500,2.125000,2.150000,1.993397,308500
2001-09-12,2.080000,2.080000,1.800000,1.887500,1.750017,237560
2001-09-13,1.925000,1.945000,1.887500,1.887500,1.750017,71820
2001-09-14,1.887500,1.887500,1.575000,1.605000,1.488094,106140
2001-09-17,1.500000,1.500000,1.325000,1.365000,1.265575,294160
2001-09-18,1.347500,1.637500,1.300000,1.607500,1.490412,156860
2001-09-19,1.605000,1.845000,1.602500,1.787500,1.657301,150040
2001-09-20,1.800000,1.825000,1.650000,1.727500,1.601671,96520
2001-09-21,1.727500,2.075000,1.727500,1.890000,1.752335,341000
